"","players","id","slug","url","DOB","year_pro","weight","height","place_OB","residence","plays","coach"
"1","Rafael Nadal","n409","rafael-nadal","https://www.atptour.com/en/players/rafael-nadal/n409/overview","34(1986.06.03)","2001","187lbs(85kg)","6'1""(185cm)","Manacor,Mallorca,Spain","Manacor,Mallorca,Spain","Left-Handed,Two-HandedBackhand","CarlosMoya,FranciscoRoig"
"2","Roger Federer","f324","roger-federer","https://www.atptour.com/en/players/roger-federer/f324/overview","38(1981.08.08)","1998","187lbs(85kg)","6'1""(185cm)","Basel,Switzerland","Switzerland","Right-Handed,One-HandedBackhand","IvanLjubicic,SeverinLuthi"
"3","David Ferrer","f401","david-ferrer","https://www.atptour.com/en/players/david-ferrer/f401/overview","(1982.04.02)","2000","161lbs(73kg)","5'9""(175cm)","Javea,Spain","Valencia,Spain","Right-Handed,Two-HandedBackhand","FranciscoFogues"
"4","Nicolas Almagro","a479","nicolas-almagro","https://www.atptour.com/en/players/nicolas-almagro/a479/overview","34(1985.08.21)","2003","190lbs(86kg)","6'0""(183cm)","Murcia,Spain","Murcia,Spain","Right-Handed,One-HandedBackhand",""
"5","Ernests Gulbis","g858","ernests-gulbis","https://www.atptour.com/en/players/ernests-gulbis/g858/overview","31(1988.08.30)","2004","187lbs(85kg)","6'3""(191cm)","Riga,Latvia","Jurmala,Latvia","Right-Handed,Two-HandedBackhand","PjotrsNecajevs"
"6","Andy Murray","mc10","andy-murray","https://www.atptour.com/en/players/andy-murray/mc10/overview","33(1987.05.15)","2005","181lbs(82kg)","6'3""(191cm)","Glasgow,Scotland","Surrey,England","Right-Handed,Two-HandedBackhand","JamieDelgado"
"7","Jurgen Melzer","m762","jurgen-melzer","https://www.atptour.com/en/players/jurgen-melzer/m762/overview","39(1981.05.22)","1999","176lbs(80kg)","6'0""(183cm)","Vienna,Austria","Deutsch-Wagram,Austria","Left-Handed,Two-HandedBackhand","FredrikRosengren"
"8","Gael Monfils","mc65","gael-monfils","https://www.atptour.com/en/players/gael-monfils/mc65/overview","33(1986.09.01)","2004","187lbs(85kg)","6'4""(193cm)","Paris,France","Switzerland","Right-Handed,Two-HandedBackhand","LiamSmith"
"9","Stan Wawrinka","w367","stan-wawrinka","https://www.atptour.com/en/players/stan-wawrinka/w367/overview","35(1985.03.28)","2002","179lbs(81kg)","6'0""(183cm)","Lausanne,Switzerland","MonteCarlo,Monaco","Right-Handed,One-HandedBackhand","MagnusNorman,DanielVallverdu"
"10","Feliciano Lopez","l397","feliciano-lopez","https://www.atptour.com/en/players/feliciano-lopez/l397/overview","38(1981.09.20)","1997","194lbs(88kg)","6'2""(188cm)","Toledo,Spain","Madrid,Spain","Left-Handed,One-HandedBackhand","MarcLopez"
"11","Victor Hanescu","h528","victor-hanescu","https://www.atptour.com/en/players/victor-hanescu/h528/overview","(1981.07.21)","2000","194lbs(88kg)","6'6""(198cm)","Bucharest,Romania","Bucharest,Romania","Right-Handed,One-HandedBackhand","FlorianArsenescu,DaveDehaan,&JuliusBarbat"
"12","Marin Cilic","c977","marin-cilic","https://www.atptour.com/en/players/marin-cilic/c977/overview","31(1988.09.28)","2005","196lbs(89kg)","6'6""(198cm)","Medjugorje,Bosnia-Herzegovina","MonteCarlo,Monaco","Right-Handed,Two-HandedBackhand","VedranMartic,VilimVisak"
"13","Fernando Verdasco","v306","fernando-verdasco","https://www.atptour.com/en/players/fernando-verdasco/v306/overview","36(1983.11.15)","2001","198lbs(90kg)","6'2""(188cm)","Madrid,Spain","Doha,Qatar","Left-Handed,Two-HandedBackhand","DiegoDinomo,DavidSanchez,QuinoMunoz"
"14","Juan Monaco","ma21","juan-monaco","https://www.atptour.com/en/players/juan-monaco/ma21/overview","(1984.03.29)","2002","179lbs(81kg)","6'1""(185cm)","Tandil,Argentina","BuenosAires,Argentina","Right-Handed,Two-HandedBackhand","MarianoZabaletaandSebastianPrieto"
"15","Guillermo Garcia-Lopez","g476","guillermo-garcia-lopez","https://www.atptour.com/en/players/guillermo-garcia-lopez/g476/overview","37(1983.06.04)","2002","176lbs(80kg)","6'1""(185cm)","LaRoda(Albacete),Spain","LaRoda(Albacete),Spain","Right-Handed,One-HandedBackhand","JuanManuelEsparcia"
"16","John Isner","i186","john-isner","https://www.atptour.com/en/players/john-isner/i186/overview","35(1985.04.26)","2007","238lbs(108kg)","6'10""(208cm)","Greensboro,NC,USA","Dallas,TX,USA","Right-Handed,Two-HandedBackhand","DavidMacpherson"
"17","Benjamin Becker","b896","benjamin-becker","https://www.atptour.com/en/players/benjamin-becker/b896/overview","(1981.06.16)","2005","158lbs(72kg)","5'10""(178cm)","Merzig,Germany","Dallas,TX,USA","Right-Handed,Two-HandedBackhand","AndreiPavel"
"18","Leonardo Mayer","md56","leonardo-mayer","https://www.atptour.com/en/players/leonardo-mayer/md56/overview","33(1987.05.15)","2003","176lbs(80kg)","6'3""(191cm)","Corrientes,Argentina","BuenosAires,Argentina","Right-Handed,One-HandedBackhand","LeoAlonso,AlejandroFabbri"
"19","Mikhail Youzhny","y061","mikhail-youzhny","https://www.atptour.com/en/players/mikhail-youzhny/y061/overview","(1982.06.25)","1999","160lbs(73kg)","6'0""(183cm)","Moscow,Russia","Moscow,Russia","Right-Handed,One-HandedBackhand","BorisSobkin"
"20","Juan Ignacio Chela","c514","juan-ignacio-chela","https://www.atptour.com/en/players/juan-ignacio-chela/c514/overview","(1979.08.30)","1998","165lbs(75kg)","6'3""(191cm)","BuenosAires,Argentina","BuenosAires,Argentina","Right-Handed,Two-HandedBackhand","PabloFuente"
"21","Daniel Munoz de la Nava","m915","daniel-munoz-de-la-nava","https://www.atptour.com/en/players/daniel-munoz-de-la-nava/m915/overview","38(1982.01.29)","1999","165lbs(75kg)","5'9""(175cm)","Madrid,Spain","Madrid,Spain","Left-Handed,Two-HandedBackhand","IgnacioTruyol"
"22","Marcos Baghdatis","b837","marcos-baghdatis","https://www.atptour.com/en/players/marcos-baghdatis/b837/overview","(1985.06.17)","2003","181lbs(82kg)","5'10""(178cm)","Limassol,Cyprus","Limassol,Cyprus","Right-Handed,Two-HandedBackhand","PabloPerez,JuanFranciscoSpina"
"23","Eduardo Schwank","se66","eduardo-schwank","https://www.atptour.com/en/players/eduardo-schwank/se66/overview","(1986.04.23)","2005","182lbs(83kg)","6'0""(183cm)","Rosario,Argentina","Rosario,Argentina","Right-Handed,Two-HandedBackhand","RobertoAlvarez"
"24","Ivo Karlovic","k336","ivo-karlovic","https://www.atptour.com/en/players/ivo-karlovic/k336/overview","41(1979.02.28)","2000","230lbs(104kg)","6'11""(211cm)","Zagreb,Croatia","Miami,FL,USA;GrandBahama","Right-Handed,One-HandedBackhand","GoranDragicevic,MirkoPehar"
"25","Mardy Fish","f339","mardy-fish","https://www.atptour.com/en/players/mardy-fish/f339/overview","(1981.12.09)","2000","180lbs(82kg)","6'2""(188cm)","Edina,Minnesota,USA","LosAngeles,California","Right-Handed,Two-HandedBackhand","MarkKnowles"
"26","Thomaz Bellucci","bd20","thomaz-bellucci","https://www.atptour.com/en/players/thomaz-bellucci/bd20/overview","32(1987.12.30)","2005","181lbs(82kg)","6'2""(188cm)","Tiete,Brazil","SaoPaulo,Brazil","Left-Handed,Two-HandedBackhand","ThiagoAlves,GermanLopez"
"27","Philipp Petzschner","p624","philipp-petzschner","https://www.atptour.com/en/players/philipp-petzschner/p624/overview","(1984.03.24)","2001","170lbs(77kg)","6'1""(185cm)","Bayreuth,Germany","Pulheim,Germany","Right-Handed,One-HandedBackhand","StefanEriksson"
"28","Santiago Giraldo","g725","santiago-giraldo","https://www.atptour.com/en/players/santiago-giraldo/g725/overview","32(1987.11.27)","2004","166lbs(75kg)","6'2""(188cm)","Pereira,Colombia","Pereira,Colombia","Right-Handed,Two-HandedBackhand","FelipeBeron"
"29","Alexandr Dolgopolov","d801","alexandr-dolgopolov","https://www.atptour.com/en/players/alexandr-dolgopolov/d801/overview","(1988.11.07)","2006","157lbs(71kg)","5'11""(180cm)","Kiev,Ukraine","Dubai,UAE","Right-Handed,Two-HandedBackhand","StasKhmarskiy"
"30","Jarkko Nieminen","n289","jarkko-nieminen","https://www.atptour.com/en/players/jarkko-nieminen/n289/overview","(1981.07.23)","2000","172lbs(78kg)","6'1""(185cm)","Masku,Finland","Helsinki,Finland","Left-Handed,Two-HandedBackhand","JandeWitt"
"31","Mikhail Kukushkin","k926","mikhail-kukushkin","https://www.atptour.com/en/players/mikhail-kukushkin/k926/overview","32(1987.12.26)","2006","159lbs(72kg)","6'0""(183cm)","Volgograd,Russia","Astana,Kazakhstan","Right-Handed,Two-HandedBackhand",""
"32","Daniel Brands","bc72","daniel-brands","https://www.atptour.com/en/players/daniel-brands/bc72/overview","33(1987.07.17)","2005","203lbs(92kg)","6'5""(196cm)","Deggendorf,Germany","Bogen,Germany","Right-Handed,One-HandedBackhand","AlexanderSatschko"
"33","Ruben Bemelmans","be54","ruben-bemelmans","https://www.atptour.com/en/players/ruben-bemelmans/be54/overview","32(1988.01.14)","2006","165lbs(75kg)","6'0""(183cm)","Genk,Belgium","Maasmechelen,Belgium","Left-Handed,Two-HandedBackhand","BjornSimon"
"34","Olivier Rochus","r397","olivier-rochus","https://www.atptour.com/en/players/olivier-rochus/r397/overview","(1981.01.18)","1999","143lbs(65kg)","5'6""(168cm)","Namur,Belgium","Dion-Valmont,Belgium","Right-Handed,One-HandedBackhand","ReginaldWillems"
"35","Rainer Schuettler","s636","rainer-schuettler","https://www.atptour.com/en/players/rainer-schuettler/s636/overview","(1976.04.25)","1995","163lbs(74kg)","5'11""(180cm)","Korbach,Germany","Baech,Switzerland","Right-Handed,Two-HandedBackhand","DirkHordorff"
"36","Florent Serra","s963","florent-serra","https://www.atptour.com/en/players/florent-serra/s963/overview","(1981.02.28)","2000","171lbs(78kg)","5'11""(180cm)","Bordeaux,France","Issy-les-Moulineaux,France","Right-Handed,Two-HandedBackhand","JeromeHaehnel"
"37","Viktor Troicki","t840","viktor-troicki","https://www.atptour.com/en/players/viktor-troicki/t840/overview","34(1986.02.10)","2006","189lbs(86kg)","6'4""(193cm)","Belgrade,Serbia","Belgrade,Serbia","Right-Handed,Two-HandedBackhand","JackReader"
"38","Dudi Sela","sc56","dudi-sela","https://www.atptour.com/en/players/dudi-sela/sc56/overview","35(1985.04.04)","2002","144lbs(65kg)","5'9""(175cm)","KiryatShmonna,Israel","TelAviv,Israel","Right-Handed,One-HandedBackhand","YoavBenZvi"
"39","Thiemo de Bakker","d776","thiemo-de-bakker","https://www.atptour.com/en/players/thiemo-de-bakker/d776/overview","31(1988.09.19)","","182lbs(83kg)","6'4""(193cm)","TheHague,TheNetherlands","Gravenzande,TheNetherlands","Right-Handed,Two-HandedBackhand","RemkodeRijke,HuibTroost"
"40","Michael Berrer","b678","michael-berrer","https://www.atptour.com/en/players/michael-berrer/b678/overview","(1980.07.01)","1999","220lbs(100kg)","6'4""(193cm)","Stuttgart,Germany","Stuttgart,Germany","Left-Handed,One-HandedBackhand","KevinSorensen"
"41","Illya Marchenko","me89","illya-marchenko","https://www.atptour.com/en/players/illya-marchenko/me89/overview","32(1987.09.08)","2006","181lbs(82kg)","6'1""(185cm)","Dneprodzerzhinsk,Ukraine","Donetsk,Ukraine","Right-Handed,Two-HandedBackhand",""
"42","Lukas Lacko","l797","lukas-lacko","https://www.atptour.com/en/players/lukas-lacko/l797/overview","32(1987.11.03)","2005","192lbs(87kg)","6'2""(188cm)","Piestany,Slovakia","Bratislava,Slovakia","Right-Handed,Two-HandedBackhand","DominikHrbaty"
"43","Daniel Koellerer","k551","daniel-koellerer","https://www.atptour.com/en/players/daniel-koellerer/k551/overview","(1983.08.17)","2002","176lbs(80kg)","5'11""(180cm)","Wels,Austria","Wels,Austria","Right-Handed,UnknownBackhand","JuergenWaber"
"44","Alexandre Sidorenko","sd78","alexandre-sidorenko","https://www.atptour.com/en/players/alexandre-sidorenko/sd78/overview","(1988.02.18)","2006","176lbs(80kg)","6'1""(185cm)","St.Petersburg,Russia","Paris,France","Right-Handed,UnknownBackhand","ValerySidorenko"
"45","Ivan Dodig","d646","ivan-dodig","https://www.atptour.com/en/players/ivan-dodig/d646/overview","35(1985.01.02)","2004","179lbs(81kg)","6'0""(183cm)","Medjugorje,Bosnia-Herzegovina","Freeport,Bahamas","Right-Handed,Two-HandedBackhand","MladenDodig"
"46","Petar Jelenic","j365","petar-jelenic","https://www.atptour.com/en/players/petar-jelenic/j365/overview","(1987.06.13)","","176lbs(80kg)","","Split,Croatia","Split,Croatia","Right-Handed,UnknownBackhand",""
"47","Ivan Ljubicic","l360","ivan-ljubicic","https://www.atptour.com/en/players/ivan-ljubicic/l360/overview","(1979.03.19)","1998","202lbs(92kg)","6'4""(193cm)","BanjaLuka,Bosnia-Herzegovina","MonteCarlo,Monaco","Right-Handed,One-HandedBackhand","RiccardoPiatti"
"48","Arnaud Clement","c487","arnaud-clement","https://www.atptour.com/en/players/arnaud-clement/c487/overview","(1977.12.17)","1996","163lbs(74kg)","5'8""(173cm)","Aix-en-Provence,France","Aix-en-Provence,France","Right-Handed,Two-HandedBackhand","BrunoClément"
"49","Albert Montanes","m824","albert-montanes","https://www.atptour.com/en/players/albert-montanes/m824/overview","(1980.11.26)","1999","155lbs(70kg)","5'9""(175cm)","SantCarlesdelaRapita","Barcelona,Spain","Right-Handed,One-HandedBackhand","PereIcart"
"50","Philipp Kohlschreiber","k435","philipp-kohlschreiber","https://www.atptour.com/en/players/philipp-kohlschreiber/k435/overview","36(1983.10.16)","2001","154lbs(70kg)","5'10""(178cm)","Augsburg,Germany","Kitzbuhel,Austria","Right-Handed,One-HandedBackhand","MarkusHipfl"
